WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="228", group="280", value="     1"
WARNING (122850): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (128272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (128280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (128396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (128404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (128412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (128420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (128428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (129184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (129272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (129280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (129396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (129404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (129412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (129420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (129428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (130184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (130272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (130280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (130396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (130404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (130412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (130420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (130428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (131184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (131272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (131280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (131396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (131404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (131412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (131420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (131428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132316): XRECORD object group 90 unknown/not supported - ignored.
